./activerecord/test/cases/attribute_methods_test.rb:0: warning: *global* has 310 NLOC, 2 CCN, 685 token, 0 PARAM, 1010 length
./activerecord/test/cases/attribute_methods_test.rb:0: warning: *global* has 310 NLOC, 2 CCN, 685 token, 0 PARAM, 1010 length
./activerecord/test/cases/attribute_methods_test.rb:0: warning: *global* has 310 NLOC, 2 CCN, 685 token, 0 PARAM, 1010 length
./activerecord/test/cases/attribute_methods_test.rb:0: warning: *global* has 310 NLOC, 2 CCN, 685 token, 0 PARAM, 1010 length
./activerecord/test/cases/attribute_methods_test.rb:0: warning: *global* has 310 NLOC, 2 CCN, 685 token, 0 PARAM, 1010 length
./activerecord/test/cases/persistence_test.rb:0: warning: *global* has 163 NLOC, 1 CCN, 462 token, 0 PARAM, 1002 length
./activerecord/test/cases/persistence_test.rb:0: warning: *global* has 163 NLOC, 1 CCN, 462 token, 0 PARAM, 1002 length
./activerecord/test/cases/persistence_test.rb:0: warning: *global* has 163 NLOC, 1 CCN, 462 token, 0 PARAM, 1002 length
./activerecord/test/cases/persistence_test.rb:0: warning: *global* has 163 NLOC, 1 CCN, 462 token, 0 PARAM, 1002 length
./activerecord/test/cases/persistence_test.rb:0: warning: *global* has 163 NLOC, 1 CCN, 462 token, 0 PARAM, 1002 length
./activerecord/test/cases/relations_test.rb:0: warning: *global* has 383 NLOC, 2 CCN, 1411 token, 0 PARAM, 2027 length
./activerecord/test/cases/relations_test.rb:0: warning: *global* has 383 NLOC, 2 CCN, 1411 token, 0 PARAM, 2027 length
./activerecord/test/cases/relations_test.rb:0: warning: *global* has 383 NLOC, 2 CCN, 1411 token, 0 PARAM, 2027 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/autosave_association_test.rb:0: warning: *global* has 386 NLOC, 1 CCN, 1436 token, 0 PARAM, 1709 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 305 NLOC, 5 CCN, 1022 token, 0 PARAM, 1542 length
./activerecord/test/cases/base_test.rb:0: warning: *global* has 305 NLOC, 5 CCN, 1022 token, 0 PARAM, 1542 length
./activerecord/lib/active_record/connection_adapters/abstract/schema_statements.rb:1048: warning: type_to_sql has 29 NLOC, 18 CCN, 192 token, 4 PARAM, 33 length
./activerecord/lib/active_record/connection_adapters/abstract/schema_statements.rb:0: warning: *global* has 84 NLOC, 1 CCN, 167 token, 0 PARAM, 1306 length
./activerecord/lib/active_record/connection_adapters/abstract/schema_statements.rb:0: warning: *global* has 84 NLOC, 1 CCN, 167 token, 0 PARAM, 1306 length
./activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:520: warning: extract_value_from_default has 17 NLOC, 17 CCN, 121 token, 1 PARAM, 24 length
./activerecord/lib/active_record/fixtures.rb:625: warning: table_rows has 49 NLOC, 18 CCN, 337 token, 0 PARAM, 70 length
./activerecord/lib/active_record/fixtures.rb:0: warning: *global* has 136 NLOC, 2 CCN, 325 token, 0 PARAM, 1046 length
./activerecord/lib/active_record/associations.rb:0: warning: *global* has 121 NLOC, 2 CCN, 335 token, 0 PARAM, 1839 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 702 NLOC, 4 CCN, 12118 token, 0 PARAM, 3623 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 702 NLOC, 4 CCN, 12118 token, 0 PARAM, 3623 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 702 NLOC, 4 CCN, 12118 token, 0 PARAM, 3623 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 702 NLOC, 4 CCN, 12118 token, 0 PARAM, 3623 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 702 NLOC, 4 CCN, 12118 token, 0 PARAM, 3623 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 702 NLOC, 4 CCN, 12118 token, 0 PARAM, 3623 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 702 NLOC, 4 CCN, 12118 token, 0 PARAM, 3623 length
./actionview/test/template/date_helper_test.rb:0: warning: *global* has 702 NLOC, 4 CCN, 12118 token, 0 PARAM, 3623 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
./actionview/test/template/form_helper_test.rb:0: warning: *global* has 585 NLOC, 1 CCN, 1742 token, 0 PARAM, 3499 length
