./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: attr has 2 NLOC, 19 CCN, 212 token, 3 PARAM, 2 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: tb has 1 NLOC, 16 CCN, 196 token, 3 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: ub has 1 NLOC, 25 CCN, 346 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: x has 1 NLOC, 25 CCN, 368 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: ajax has 1 NLOC, 57 CCN, 937 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:177: warning: jQuery.fn.extend has 42 NLOC, 21 CCN, 271 token, 0 PARAM, 64 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:750: warning: Sizzle has 77 NLOC, 40 CCN, 537 token, 4 PARAM, 107 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:1297: warning: function has 26 NLOC, 17 CCN, 175 token, 2 PARAM, 41 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:1338: warning: } has 39 NLOC, 16 CCN, 223 token, 2 PARAM, 53 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:1024: warning: Sizzle.setDocument has 56 NLOC, 24 CCN, 403 token, 1 PARAM, 370 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:1681: warning: } has 52 NLOC, 45 CCN, 458 token, 3 PARAM, 75 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2013: warning: Sizzle.tokenize has 48 NLOC, 16 CCN, 308 token, 2 PARAM, 66 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2194: warning: function has 60 NLOC, 28 CCN, 395 token, 4 PARAM, 84 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2341: warning: superMatcher has 63 NLOC, 32 CCN, 378 token, 5 PARAM, 90 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2476: warning: Sizzle.select has 49 NLOC, 27 CCN, 397 token, 4 PARAM, 69 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:564: warning: function has 199 NLOC, 9 CCN, 1219 token, 1 PARAM, 2048 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2735: warning: jQuery.fn.init has 59 NLOC, 27 CCN, 414 token, 2 PARAM, 98 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4088: warning: add has 67 NLOC, 24 CCN, 486 token, 5 PARAM, 104 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4194: warning: remove has 52 NLOC, 34 CCN, 449 token, 5 PARAM, 69 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4264: warning: trigger has 87 NLOC, 52 CCN, 708 token, 4 PARAM, 131 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4396: warning: dispatch has 37 NLOC, 17 CCN, 321 token, 1 PARAM, 58 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4521: warning: filter has 15 NLOC, 25 CCN, 184 token, 2 PARAM, 22 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:5085: warning: buildFragment has 50 NLOC, 19 CCN, 382 token, 4 PARAM, 85 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:5360: warning: domManip has 54 NLOC, 20 CCN, 384 token, 2 PARAM, 85 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:5859: warning: showHide has 37 NLOC, 18 CCN, 266 token, 2 PARAM, 50 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:5950: warning: style has 34 NLOC, 23 CCN, 304 token, 4 PARAM, 59 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:38: warning: function has 464 NLOC, 3 CCN, 2087 token, 2 PARAM, 6328 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:0: warning: *global* has 6 NLOC, 2 CCN, 26 token, 0 PARAM, 6539 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:6368: warning: defaultPrefilter has 78 NLOC, 35 CCN, 557 token, 3 PARAM, 132 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:6959: warning: attr has 32 NLOC, 19 CCN, 243 token, 3 PARAM, 47 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:7665: warning: ajaxHandleResponses has 39 NLOC, 16 CCN, 216 token, 3 PARAM, 52 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:7721: warning: ajaxConvert has 58 NLOC, 25 CCN, 384 token, 4 PARAM, 90 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:8179: warning: done has 69 NLOC, 25 CCN, 418 token, 4 PARAM, 110 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:7905: warning: ajax has 127 NLOC, 57 CCN, 990 token, 2 PARAM, 387 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:6588: warning: stop has 556 NLOC, 10 CCN, 1302 token, 1 PARAM, 2623 length
./django/contrib/admin/static/admin/js/vendor/xregexp/xregexp.min.js:14: warning: n.matchRecursive has 1 NLOC, 37 CCN, 579 token, 5 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/xregexp/xregexp.js:22: warning: function has 102 NLOC, 3 CCN, 490 token, 1 PARAM, 1246 length
./django/contrib/admin/static/admin/js/vendor/xregexp/xregexp.js:1927: warning: XRegExp.matchRecursive has 93 NLOC, 37 CCN, 641 token, 5 PARAM, 112 length
./django/contrib/admin/static/admin/js/SelectFilter2.js:177: warning: filter_key_down has 16 NLOC, 16 CCN, 197 token, 2 PARAM, 19 length
./django/contrib/admin/options.py:328: warning: lookup_allowed has 35 NLOC, 17 CCN, 253 token, 3 PARAM, 50 length
./django/contrib/admin/options.py:1338: warning: changeform_view has 79 NLOC, 22 CCN, 653 token, 5 PARAM, 97 length
./django/contrib/admin/options.py:1443: warning: changelist_view has 116 NLOC, 32 CCN, 848 token, 3 PARAM, 158 length
./django/contrib/admin/utils.py:316: warning: label_for_field has 44 NLOC, 17 CCN, 267 token, 4 PARAM, 53 length
./django/contrib/contenttypes/management.py:7: warning: update_contenttypes has 62 NLOC, 20 CCN, 298 token, 5 PARAM, 78 length
./django/contrib/contenttypes/views.py:11: warning: shortcut has 52 NLOC, 19 CCN, 335 token, 3 PARAM, 80 length
./django/contrib/gis/gdal/raster/source.py:60: warning: __init__ has 46 NLOC, 19 CCN, 408 token, 3 PARAM, 72 length
./django/contrib/gis/utils/layermapping.py:163: warning: check_layer has 54 NLOC, 16 CCN, 350 token, 1 PARAM, 96 length
./django/contrib/gis/utils/layermapping.py:527: warning: _save has 49 NLOC, 17 CCN, 297 token, 3 PARAM, 71 length
./django/contrib/gis/static/gis/js/OLMapWidget.js:165: warning: MapWidget has 90 NLOC, 16 CCN, 751 token, 1 PARAM, 100 length
./django/contrib/gis/db/models/query.py:581: warning: _distance_attribute has 93 NLOC, 41 CCN, 618 token, 6 PARAM, 152 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/admindocs/views.py:184: warning: get_context_data has 108 NLOC, 23 CCN, 749 token, 2 PARAM, 126 length
./django/http/multipartparser.py:107: warning: parse has 105 NLOC, 28 CCN, 664 token, 1 PARAM, 157 length
./django/db/migrations/autodetector.py:229: warning: _build_migration_list has 62 NLOC, 25 CCN, 521 token, 2 PARAM, 90 length
./django/db/migrations/autodetector.py:355: warning: check_dependency has 50 NLOC, 31 CCN, 410 token, 3 PARAM, 62 length
./django/db/migrations/autodetector.py:483: warning: generate_created_models has 120 NLOC, 28 CCN, 759 token, 1 PARAM, 145 length
./django/db/migrations/autodetector.py:663: warning: generate_deleted_models has 69 NLOC, 19 CCN, 491 token, 1 PARAM, 92 length
./django/db/migrations/autodetector.py:1065: warning: arrange_for_graph has 37 NLOC, 20 CCN, 262 token, 4 PARAM, 48 length
